carID,brand,model,year,transmission,mileage (mi),odometer (km),fuelType,mpg (mi),L/100km,engineSize (L),price (£),price (CAD)
12089, bmw, M4, 2017, Semi-Auto, 20750, 33394, Petrol, 34, 6.92, 3, 34950, 59415
12090, hyundi, I800, 2018, Manual, 33387, 53731, Diesel, 31.7, 7.42, 2.5, 15800, 26860
12092, vw, CC, 2015, Manual, 61119, 98361, Diesel, 60.1, 3.91, 2, 9301, 15811.7
12093, vw, Scirocco, 2015, Manual, 30367, 48871, Petrol, 37.2, 6.32, 2, 12217, 20768.9
12094, ford, Grand Tourneo Connect, 2017, Manual, 27252, 43858, Diesel, 64.2, 3.66, 1.5, 14200, 24140
12097, audi, A7, 2017, Semi-Auto, 37000, 59546, Diesel, 62.8, 3.75, 3, 23450, 39865
12098, ford, KA, 2013, Manual, 51000, 82076, Petrol, 57.7, 4.08, 1.2, 4490, 7633
12099, bmw, X7, 2019, Automatic, 7791, 12538, Diesel, 33.6, 7, 3, 59988, 101979.6
12101, toyota, GT86, 2018, Manual, 15525, 24985, Petrol, 36.2, 6.5, 2, 19995, 33991.5
12104, ford, Grand C-MAX, 2017, Manual, 6368, 10248, Diesel, 64.2, 3.66, 1.5, 11498, 19546.6
12105, merc, X-CLASS, 2019, Automatic, 8974, 14442, Diesel, 35.8, 6.57, 2.3, 22995, 39091.5
12106, hyundi, Santa Fe, 2019, Semi-Auto, 2000, 3219, Diesel, 39.8, 5.91, 2.2, 32000, 54400
12107, bmw, i3, 2016, Automatic, 8421, 13552, Hybrid, 470.8, 0.5, 0, 19490, 33133
12108, bmw, X6, 2019, Semi-Auto, 2500, 4023, Petrol, 26.4, 8.91, 3, 59990, 101983
12109, bmw, 8 Series, 2019, Semi-Auto, 5923, 9532, Diesel, 39.8, 5.91, 3, 59000, 100300
12110, vw, Caddy, 2015, Manual, 45500, 73225, Diesel, 49.6, 4.74, 2, 13590, 23103
12111, vw, CC, 2015, Manual, 83009, 133590, Diesel, 60.1, 3.91, 2, 8337, 14172.9
12112, toyota, Avensis, 2014, Manual, 44537, 71675, Diesel, 61.4, 3.83, 2, 7999, 13598.3
12113, ford, Edge, 2018, Semi-Auto, 19364, 31163, Diesel, 47.9, 4.91, 2, 25498, 43346.6
12114, vw, Beetle, 2016, Semi-Auto, 44533, 71669, Petrol, 42.2, 5.57, 2, 14490, 24633
12115, merc, M Class, 2013, Automatic, 70710, 113796, Diesel, 39.2, 6, 3, 16490, 28033
12117, ford, Grand C-MAX, 2017, Semi-Auto, 10295, 16568, Diesel, 58.9, 3.99, 1.5, 10499, 17848.3
12120, ford, Galaxy, 2017, Manual, 22995, 37007, Diesel, 56.5, 4.16, 2, 19995, 33991.5
12121, vw, Tiguan Allspace, 2018, Semi-Auto, 8019, 12905, Diesel, 47.9, 4.91, 2, 25499, 43348.3
12124, merc, GL Class, 2017, Automatic, 30827, 49611, Diesel, 47.9, 4.91, 2.1, 27999, 47598.3
12125, vw, Shuttle, 2019, Semi-Auto, 14028, 22576, Diesel, 32.8, 7.17, 2, 28995, 49291.5
12126, audi, RS6, 2020, Automatic, 3000, 4828, Petrol, 22.1, 10.64, 4, 104948, 178411.6
12128, toyota, Prius, 2017, Automatic, 37071, 59660, Hybrid, 85.6, 2.75, 1.8, 17498, 29746.6
12130, ford, KA, 2017, Manual, 16001, 25751, Petrol, 57.7, 4.08, 1.2, 7699, 13088.3
12131, ford, KA, 2010, Manual, 61575, 99095, Petrol, 55.4, 4.25, 1.2, 3690, 6273
12132, bmw, 7 Series, 2016, Automatic, 34000, 54718, Diesel, 57.6, 4.08, 3, 23990, 40783
12134, merc, CLS Class, 2019, Semi-Auto, 3194, 5140, Diesel, 45.6, 5.16, 2, 39999, 67998.3
12135, toyota, Prius, 2019, Automatic, 6500, 10461, Hybrid, 64.2, 3.66, 1.8, 24695, 41981.5
12137, bmw, Z3, 1999, Manual, 58000, 93342, Petrol, 35.3, 6.66, 1.9, 3950, 6715
12140, bmw, 6 Series, 2014, Automatic, 59295, 95426, Diesel, 49.6, 4.74, 3, 16500, 28050
12143, hyundi, I40, 2016, Manual, 38259, 61572, Diesel, 65.7, 3.58, 1.7, 9698, 16486.6
12144, ford, Mustang, 2017, Manual, 20700, 33313, Petrol, 20.9, 11.25, 5, 27500, 46750
12146, ford, KA, 2009, Manual, 68441, 110145, Petrol, 55.4, 4.25, 1.2, 3295, 5601.5
12147, audi, RS3, 2016, Automatic, 36123, 58134, Petrol, 34.9, 6.74, 2.5, 33000, 56100
12148, hyundi, IX20, 2017, Manual, 37682, 60643, Diesel, 64.2, 3.66, 1.6, 8650, 14705
12149, hyundi, IX20, 2017, Automatic, 4076, 6560, Petrol, 43.5, 5.41, 1.6, 11199, 19038.3
12150, vw, Caravelle, 2019, Automatic, 11163, 17965, Diesel, 33.6, 7, 2, 44500, 75650
12152, bmw, Z4, 2016, Semi-Auto, 25300, 40716, Petrol, 41.5, 5.67, 2, 18650, 31705
12154, vw, Arteon, 2019, Semi-Auto, 3111, 5007, Petrol, 47.1, 4.99, 2, 27990, 47583
12156, hyundi, Santa Fe, 2019, Semi-Auto, 6982, 11236, Diesel, 39.2, 6, 2.2, 33949, 57713.3
12157, vw, Scirocco, 2014, Manual, 46806, 75327, Diesel, 62.8, 3.75, 2, 10000, 17000
12159, hyundi, IX20, 2015, Manual, 27399, 44094, Petrol, 50.4, 4.67, 1.4, 7699, 13088.3
12161, vw, Arteon, 2018, Automatic, 20159, 32443, Petrol, 47.1, 4.99, 2, 20990, 35683
12162, vw, Arteon, 2019, Semi-Auto, 6627, 10665, Diesel, 50.4, 4.67, 2, 25890, 44013
12163, merc, V Class, 2017, Semi-Auto, 58590, 94291, Diesel, 44.8, 5.25, 2.2, 27998, 47596.6
12164, bmw, 7 Series, 2019, Automatic, 339, 546, Petrol, 34.5, 6.82, 3, 47980, 81566
12168, ford, Mustang, 2017, Automatic, 7546, 12144, Petrol, 23.5, 10.01, 5, 48999, 83298.3
12169, toyota, Avensis, 2012, Automatic, 58000, 93342, Petrol, 42.2, 5.57, 1.8, 8995, 15291.5
12170, hyundi, IX35, 2015, Manual, 28040, 45126, Diesel, 53.3, 4.41, 1.7, 9099, 15468.3
12171, merc, V Class, 2019, Automatic, 2550, 4104, Diesel, 36.7, 6.41, 2, 47950, 81515
12172, bmw, 6 Series, 2017, Automatic, 14400, 23174, Diesel, 51.4, 4.58, 3, 22449, 38163.3
12174, vw, Arteon, 2018, Automatic, 9288, 14948, Diesel, 44.1, 5.33, 2, 23700, 40290
12175, audi, A8, 2020, Semi-Auto, 1100, 1770, Diesel, 40.4, 5.82, 3, 52995, 90091.5
12176, vw, Beetle, 2016, Manual, 19039, 30640, Petrol, 48.7, 4.83, 1.4, 11990, 20383
12178, toyota, Avensis, 2015, Manual, 51500, 82881, Diesel, 61.4, 3.83, 2, 8495, 14441.5
12185, bmw, M2, 2019, Semi-Auto, 19548, 31459, Petrol, 29.1, 8.08, 3, 37990, 64583
12188, hyundi, Santa Fe, 2019, Automatic, 20, 32, Diesel, 39.8, 5.91, 2.2, 32489, 55231.3
12189, merc, CLS Class, 2019, Semi-Auto, 8697, 13996, Petrol, 31.7, 7.42, 3, 68000, 115600
12192, bmw, X6, 2016, Semi-Auto, 29211, 47010, Diesel, 47.1, 4.99, 3, 20950, 35615
12194, merc, GL Class, 2016, Automatic, 36000, 57936, Diesel, 42.8, 5.5, 3, 27990, 47583
12195, vw, CC, 2017, Semi-Auto, 17955, 28896, Diesel, 58.9, 3.99, 2, 15490, 26333
12197, hyundi, I40, 2015, Manual, 22000, 35405, Diesel, 67.3, 3.5, 1.7, 8495, 14441.5
12198, bmw, X7, 2019, Semi-Auto, 10, 16, Diesel, 31.4, 7.49, 3, 76970, 130849
12200, vw, Scirocco, 2017, Manual, 25150, 40475, Diesel, 64.2, 3.66, 2, 17999, 30598.3
12202, ford, Edge, 2017, Semi-Auto, 19552, 31466, Diesel, 47.9, 4.91, 2, 22500, 38250
12205, vw, Tiguan Allspace, 2019, Automatic, 4635, 7459, Diesel, 38.7, 6.08, 2, 27989, 47581.3
12207, hyundi, IX20, 2017, Manual, 10279, 16542, Petrol, 50.4, 4.67, 1.4, 9795, 16651.5
12213, ford, Tourneo Connect, 2016, Manual, 42960, 69137, Diesel, 61.4, 3.83, 1.5, 8998, 15296.6
12214, ford, Grand C-MAX, 2017, Manual, 38967, 62711, Petrol, 54.3, 4.33, 1, 10500, 17850
12215, vw, CC, 2013, Manual, 79303, 127625, Diesel, 60.1, 3.91, 2, 7970, 13549
12216, ford, KA, 2014, Manual, 22888, 36835, Petrol, 57.7, 4.08, 1.2, 5000, 8500
12217, merc, GL Class, 2018, Automatic, 2880, 4635, Diesel, 56.5, 4.16, 2.1, 20999, 35698.3
12218, bmw, M2, 2020, Semi-Auto, 15, 24, Petrol, 29.1, 8.08, 3, 42999, 73098.3
12222, vw, Shuttle, 2018, Semi-Auto, 3768, 6064, Diesel, 45.6, 5.16, 2, 28900, 49130
12223, ford, Galaxy, 2017, Automatic, 7743, 12461, Diesel, 52.3, 4.5, 2, 20627, 35065.9
12225, bmw, X4, 2015, Automatic, 31723, 51053, Diesel, 47.9, 4.91, 3, 23500, 39950
12226, hyundi, I800, 2018, Manual, 33173, 53387, Diesel, 37.7, 6.24, 2.5, 15499, 26348.3
12227, merc, CLS Class, 2019, Automatic, 6273, 10095, Diesel, 48.7, 4.83, 2.9, 35980, 61166
12229, merc, V Class, 2019, Automatic, 3442, 5539, Diesel, 39.8, 5.91, 2.1, 25991, 44184.7
12230, audi, Q8, 2019, Semi-Auto, 2715, 4369, Diesel, 33.6, 7, 3, 51950, 88315
12236, hyundi, Getz, 2003, Automatic, 51000, 82076, Petrol, 37.2, 6.32, 1.6, 1990, 3383
12237, merc, SLK, 2014, Semi-Auto, 34170, 54991, Petrol, 43.5, 5.41, 2, 13650, 23205
12240, vw, Beetle, 2017, Manual, 30446, 48998, Petrol, 53.3, 4.41, 1.2, 12240, 20808
12241, hyundi, I40, 2016, Manual, 29347, 47229, Diesel, 65.7, 3.58, 1.7, 10998, 18696.6
12242, audi, R8, 2013, Manual, 19834, 31920, Petrol, 19.6, 12, 4.2, 47995, 81591.5
12243, vw, Jetta, 2015, Manual, 35242, 56716, Diesel, 70.6, 3.33, 2, 7999, 13598.3
12244, ford, Edge, 2016, Manual, 30000, 48280, Diesel, 48.7, 4.83, 2, 17991, 30584.7
12246, hyundi, IX20, 2016, Manual, 20347, 32745, Petrol, 50.4, 4.67, 1.4, 7327, 12455.9
12249, ford, Puma, 2019, Manual, 1606, 2585, Petrol, 50.4, 4.67, 1, 23999, 40798.3
12251, bmw, 8 Series, 2020, Semi-Auto, 151, 243, Diesel, 26.7, 8.81, 3, 79991, 135984.7
12252, ford, Edge, 2017, Manual, 19175, 30859, Diesel, 48.7, 4.83, 2, 20495, 34841.5
12253, merc, V Class, 2019, Automatic, 999, 1608, Diesel, 36.7, 6.41, 2, 47999, 81598.3
12255, merc, CLS Class, 2016, Automatic, 32611, 52482, Diesel, 49.6, 4.74, 3, 22684, 38562.8
12257, audi, A7, 2019, Semi-Auto, 4100, 6598, Diesel, 47.1, 4.99, 2, 33990, 57783
12261, ford, Grand C-MAX, 2017, Manual, 8121, 13069, Petrol, 54.3, 4.33, 1, 12490, 21233
12262, ford, Grand C-MAX, 2017, Manual, 17242, 27748, Diesel, 64.2, 3.66, 1.5, 12444, 21154.8
12263, hyundi, I800, 2016, Automatic, 51446, 82794, Diesel, 33.6, 7, 2.5, 14300, 24310
12267, bmw, Z4, 2003, Automatic, 70000, 112654, Petrol, 29.7, 7.92, 3, 3495, 5941.5
12269, hyundi, Santa Fe, 2019, Semi-Auto, 25, 40, Diesel, 39.8, 5.91, 2.2, 35495, 60341.5
12271, toyota, Prius, 2016, Automatic, 23300, 37498, Hybrid, 85.6, 2.75, 1.8, 18690, 31773
12272, ford, Grand Tourneo Connect, 2019, Manual, 542, 872, Diesel, 61.4, 3.83, 1.5, 18500, 31450
12273, merc, GLS Class, 2016, Automatic, 32505, 52312, Diesel, 37.2, 6.32, 3, 34763, 59097.1
12275, merc, SLK, 2016, Semi-Auto, 36363, 58520, Diesel, 70.6, 3.33, 2, 16480, 28016
12278, hyundi, Santa Fe, 2019, Semi-Auto, 130, 209, Diesel, 42.8, 5.5, 2.2, 31995, 54391.5
12280, vw, CC, 2013, Manual, 62541, 100650, Diesel, 60.1, 3.91, 2, 7820, 13294
12281, ford, Galaxy, 2019, Automatic, 600, 966, Diesel, 43.5, 5.41, 2, 23950, 40715
12282, merc, GL Class, 2015, Automatic, 51081, 82207, Diesel, 36.2, 6.5, 3, 28975, 49257.5
12285, toyota, Prius, 2011, Manual, 112000, 180246, Other, 70.6, 3.33, 1.8, 7250, 12325
12286, merc, CLA Class, 2017, Manual, 35580, 57260, Petrol, 48.7, 4.83, 1.6, 16600, 28220
12288, merc, CLS Class, 2018, Automatic, 17663, 28426, Diesel, 48.7, 4.83, 2.9, 31026, 52744.2
12293, merc, SLK, 2008, Automatic, 58000, 93342, Petrol, 29.7, 7.92, 3, 7495, 12741.5
12294, hyundi, Santa Fe, 2018, Semi-Auto, 17496, 28157, Diesel, 39.2, 6, 2.2, 29498, 50146.6
12297, vw, Amarok, 2018, Automatic, 4980, 8015, Diesel, 33.6, 7, 3, 30999, 52698.3
12301, toyota, Prius, 2016, Automatic, 48297, 77726, Hybrid, 85.6, 2.75, 1.8, 17650, 30005
12302, audi, A8, 2019, Automatic, 178, 286, Diesel, 39.2, 6, 3, 52850, 89845
12303, vw, Arteon, 2018, Semi-Auto, 4350, 7001, Diesel, 52.3, 4.5, 2, 22785, 38734.5
12304, toyota, Verso, 2018, Manual, 7074, 11384, Diesel, 62.8, 3.75, 1.6, 13965, 23740.5
12305, vw, Scirocco, 2015, Semi-Auto, 46463, 74775, Diesel, 53.3, 4.41, 2, 11950, 20315
12306, toyota, Prius, 2019, Automatic, 1626, 2617, Hybrid, 64.2, 3.66, 1.8, 22995, 39091.5
12307, ford, Galaxy, 2017, Semi-Auto, 36708, 59076, Diesel, 52.3, 4.5, 2, 19000, 32300
12308, vw, Caddy Maxi Life, 2019, Semi-Auto, 3818, 6144, Diesel, 46.3, 5.08, 2, 19999, 33998.3
12310, ford, KA, 2014, Manual, 32385, 52118, Petrol, 57.7, 4.08, 1.2, 5997, 10194.9
12313, bmw, 6 Series, 2016, Automatic, 17264, 27784, Petrol, 32.1, 7.33, 4.4, 26976, 45859.2
12315, vw, Shuttle, 2019, Semi-Auto, 12316, 19821, Diesel, 32.8, 7.17, 2, 36995, 62891.5
12316, toyota, Prius, 2016, Automatic, 46994, 75629, Hybrid, 85.6, 2.75, 1.8, 16999, 28898.3
12317, vw, CC, 2013, Automatic, 41394, 66617, Diesel, 53.3, 4.41, 2, 10000, 17000
12319, bmw, 6 Series, 2017, Semi-Auto, 25975, 41803, Diesel, 51.4, 4.58, 3, 23990, 40783
12322, audi, A7, 2016, Semi-Auto, 40809, 65676, Diesel, 61.4, 3.83, 3, 19698, 33486.6
12323, toyota, Land Cruiser, 2006, Automatic, 113000, 181855, Diesel, 31.4, 7.49, 3, 7240, 12308
12327, merc, SLK, 2014, Automatic, 30769, 49518, Diesel, 56.5, 4.16, 2, 11699, 19888.3
12330, bmw, X6, 2020, Semi-Auto, 3200, 5150, Diesel, 34.9, 6.74, 3, 52990, 90083
12334, bmw, X7, 2020, Semi-Auto, 1501, 2416, Diesel, 33.6, 7, 3, 64995, 110491.5
12335, bmw, X4, 2019, Automatic, 5980, 9624, Diesel, 37.2, 6.32, 3, 42995, 73091.5
12336, audi, A7, 2013, Automatic, 76597, 123271, Diesel, 47.9, 4.91, 3, 14699, 24988.3
12337, toyota, Verso, 2011, Manual, 47570, 76556, Petrol, 41.5, 5.67, 1.6, 6795, 11551.5
12339, bmw, M4, 2019, Semi-Auto, 12, 19, Petrol, 32.5, 7.24, 3, 48940, 83198
12341, hyundi, I800, 2018, Manual, 39101, 62927, Diesel, 37.7, 6.24, 2.5, 14790, 25143
12342, audi, RS4, 2019, Automatic, 5151, 8290, Petrol, 29.1, 8.08, 2.9, 58990, 100283
12344, bmw, M4, 2019, Semi-Auto, 2258, 3634, Petrol, 34, 6.92, 3, 48000, 81600
12345, audi, Q8, 2019, Semi-Auto, 10000, 16093, Diesel, 32.8, 7.17, 3, 65990, 112183
12347, vw, Beetle, 2017, Manual, 27321, 43969, Petrol, 53.3, 4.41, 1.2, 11995, 20391.5
12348, merc, X-CLASS, 2018, Automatic, 3161, 5087, Diesel, 31.4, 7.49, 3, 39000, 66300
12351, ford, Edge, 2018, Semi-Auto, 8044, 12946, Diesel, 47.9, 4.91, 2, 27400, 46580
12352, toyota, Land Cruiser, 2015, Semi-Auto, 3790, 6099, Diesel, 38.2, 6.16, 2.8, 35695, 60681.5
12353, toyota, Prius, 2016, Automatic, 9320, 14999, Hybrid, 94.1, 2.5, 1.8, 19990, 33983
12356, merc, S Class, 2019, Automatic, 6501, 10462, Diesel, 52.3, 4.5, 3, 58990, 100283
12358, bmw, 6 Series, 2015, Automatic, 72720, 117031, Diesel, 49.6, 4.74, 3, 16250, 27625
12361, toyota, Hilux, 2018, Manual, 12298, 19792, Diesel, 40.4, 5.82, 2.4, 27950, 47515
12363, merc, CLS Class, 2017, Semi-Auto, 21218, 34147, Diesel, 56.5, 4.16, 2.1, 22995, 39091.5
12366, merc, S Class, 2019, Semi-Auto, 7659, 12326, Diesel, 52.3, 4.5, 3, 46980, 79866
12367, ford, Edge, 2018, Automatic, 24230, 38994, Diesel, 47.9, 4.91, 2, 21810, 37077
12369, ford, Galaxy, 2019, Manual, 5612, 9032, Diesel, 55.4, 4.25, 2, 27300, 46410
12370, bmw, Z4, 2019, Semi-Auto, 1561, 2512, Petrol, 33.2, 7.08, 3, 38850, 66045
12371, bmw, 7 Series, 2014, Semi-Auto, 74269, 119524, Diesel, 50.4, 4.67, 3, 18485, 31424.5
12372, toyota, Avensis, 2017, Manual, 37983, 61128, Diesel, 67.3, 3.5, 1.6, 11795, 20051.5
12374, hyundi, IX20, 2013, Manual, 50227, 80832, Petrol, 45.6, 5.16, 1.4, 5690, 9673
12377, vw, Shuttle, 2019, Semi-Auto, 3757, 6046, Diesel, 33.2, 7.08, 2, 30900, 52530
12380, hyundi, Santa Fe, 2020, Semi-Auto, 9, 14, Diesel, 39.2, 6, 2.2, 37995, 64591.5
12383, bmw, M4, 2019, Semi-Auto, 13, 21, Petrol, 32.5, 7.24, 3, 48940, 83198
12385, merc, S Class, 2018, Automatic, 2499, 4022, Petrol, 34, 6.92, 4, 79989, 135981.3
12387, vw, Beetle, 2015, Manual, 50000, 80467, Diesel, 61.4, 3.83, 2, 10995, 18691.5
12390, bmw, X4, 2019, Semi-Auto, 8023, 12912, Petrol, 26.9, 8.74, 3, 40999, 69698.3
12391, merc, SLK, 2013, Automatic, 49284, 79315, Petrol, 43.5, 5.41, 2, 10857, 18456.9
12393, hyundi, I40, 2013, Automatic, 60790, 97832, Diesel, 47.1, 4.99, 1.7, 6750, 11475
12394, hyundi, Santa Fe, 2017, Semi-Auto, 21891, 35230, Diesel, 42.8, 5.5, 2.2, 19750, 33575
12395, ford, KA, 2014, Manual, 28883, 46483, Petrol, 57.7, 4.08, 1.2, 4430, 7531
12396, merc, S Class, 2019, Automatic, 582, 937, Hybrid, 122.9, 1.91, 3, 56499, 96048.3
12399, vw, Arteon, 2019, Automatic, 3882, 6247, Petrol, 47.1, 4.99, 2, 27240, 46308
12400, ford, Galaxy, 2016, Manual, 40080, 64502, Diesel, 56.5, 4.16, 2, 18250, 31025
12404, audi, A7, 2017, Semi-Auto, 34132, 54930, Diesel, 62.8, 3.75, 3, 21150, 35955
12406, merc, M Class, 2010, Automatic, 92000, 148059, Diesel, 32.5, 7.24, 3, 9000, 15300
12409, merc, S Class, 2020, Semi-Auto, 3999, 6436, Diesel, 40.4, 5.82, 3, 64980, 110466
12411, ford, Grand Tourneo Connect, 2016, Automatic, 44785, 72074, Diesel, 56.6, 4.16, 1.5, 13500, 22950
12413, ford, KA, 2011, Manual, 64304, 103487, Petrol, 57.7, 4.08, 1.2, 3000, 5100
12414, hyundi, I40, 2016, Semi-Auto, 29334, 47208, Diesel, 56.5, 4.16, 1.7, 11598, 19716.6
12418, bmw, X6, 2020, Semi-Auto, 5656, 9102, Diesel, 33.2, 7.08, 3, 67990, 115583
12419, merc, SLK, 2015, Automatic, 31576, 50817, Diesel, 70.6, 3.33, 2.1, 14800, 25160
12420, toyota, GT86, 2019, Manual, 489, 787, Petrol, 33.2, 7.08, 2, 27950, 47515
12421, vw, Shuttle, 2019, Semi-Auto, 10000, 16093, Diesel, 32.8, 7.17, 2, 34950, 59415
12423, toyota, Prius, 2019, Automatic, 8925, 14363, Hybrid, 64.2, 3.66, 1.8, 23690, 40273
12426, audi, A8, 2013, Automatic, 43052, 69285, Diesel, 44.1, 5.33, 3, 16999, 28898.3
12427, merc, S Class, 2015, Automatic, 33462, 53852, Diesel, 48.7, 4.83, 3, 26578, 45182.6
12428, toyota, Hilux, 2014, Manual, 93334, 150206, Diesel, 38.7, 6.08, 2.5, 9694, 16479.8
12431, merc, V Class, 2017, Semi-Auto, 16830, 27085, Diesel, 44.8, 5.25, 2.2, 35995, 61191.5
12433, hyundi, Santa Fe, 2019, Semi-Auto, 4890, 7870, Diesel, 39.2, 6, 2.2, 34495, 58641.5
12438, ford, Grand C-MAX, 2018, Manual, 13768, 22157, Petrol, 47.1, 4.99, 1, 13800, 23460
12439, merc, X-CLASS, 2019, Automatic, 500, 805, Diesel, 35.8, 6.57, 2.3, 24945, 42406.5
12441, bmw, X6, 2016, Semi-Auto, 26615, 42833, Diesel, 44.8, 5.25, 3, 32800, 55760
12443, hyundi, IX35, 2013, Manual, 51400, 82720, Diesel, 53.3, 4.41, 1.7, 7996, 13593.2
12445, merc, CLS Class, 2012, Automatic, 66880, 107633, Diesel, 46.3, 5.08, 3, 12490, 21233
